naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
KŠ X | ŠIŠKA OPEN 2019,eng leto dvorišče oživel pestriti celodneven dogajanje dan lahek preizkusiti različen športen ustvarjalen kulturen dejavnost zvečer čast obletnica nastopiti domač izvajalec pretekel desetletje pomemben zaznamovati šiški slovenski glasben scena laibach matter koati voica zal kralj gašper šantti mrfy ygti kleme kleme vstop dogodek letos brezplačen fen zabava prost čas šiški več infa kti dogodek vstop prost organizacija kino šiški mlad zmaj scena urban roof fight club ljubljana akademija boks kud ljud društvo gumb knjižnica krošnja dogodek potek okvir praznovanje obletnica kino šiški prijava kti newsletter prenesti kti app,2019-09-21 10:00:00,3287,154287574875,5,0.0010749116775881126
Prvi glas Dalmacije Marko Škugor na gradu Vurberk 24. 8. 2019,dalmatinski opevati večer glas dalmacija marka škugor spremljevalen bend prvič grad vurberka vstopnica prodaja dalja eventims petrol poslovalnica pošta slovenija vsopnica,2019-08-24 20:00:00,1046,1454933714728323,5,0.0018867258295212942
Film pod zvezdami / Film Under the Stars,polet ljubljanski grad ponoči zasijati filmski zvezda leten kino izbor najbolj odmeven film sezona dopolnjevati premiera predpremiera spored englis version vstopnica prodaja volja blagajna kinodvor blagajna vstopen paviljon ljubljanski grad spodnji postaja vzpenjača prodajen mesto splet film predvajati izvoren jezik slovenski podnapis film jezik angleški podnaslovljen angleščina films ara screened their originati languaga with englis subtitles englis spokno films ara screened with slovenian subtitles only primer dež slab vremenski napoved odpasti nadomesten naslednji dan kinodvor primer odpoved predpremiera poseben kinodvor nadomesten vstopnica odpadel prekinjen lahek zamenjati vstopnica nadomesten vstopnica vračilo kupnina odpoved predstava primer slab vreme slab vremenski napoved objaviti spleten stran družaben omrežje ura več,2019-07-11 21:30:00,7551,189671414402679,5,0.004993734320678429
Guča večer • Balkan Boys & Dej še'n litro • Poletna scena,guča večer balkan boys dejati liter poleten scena bevek trg nov gorica prost vstop program dejati liter balkan boys balkan boys navaden balkan skupina čist odraz daleč lahek balkan seči obenem čustven lahek glasben zvrst odrski nastop pokazati zgoditi zvok balkan zmešati ritem rumb ski gipsy swing regga pravi norij ples skakanje odličen hkrati naštudirati repertoar poslušanje balkan boys popeljati pravi katarza začutiti svet balkan popolnoma nov raven zasedba rok nemanič nem vokati trobenta matija marion saksofon andreja štreklja trobenta tomaž zevnik klarinet emir ibrakić kitara nejc poljanec harmonik ilj pušnik basa kitara uroš nemanič boben facebook youtuba balkan boys banda dejati liter skupina mlad šolan pihalec trobilec tolkalec slovenski ister kras goriški šteti članov repertoar skupina segati eten komad slovenski balkanski prostor avtorski skladba skupina ustvarjati edinstven zvok vzdušje osnoven vodilo skupina zabavati zabavati razviden odrski neodrski nastop skušati dejati liter spraviti publika najmanj noga miza nastop humoren vložko dober glasba izveden celota živ facebook,2019-08-24 20:00:00,701,390823948217754,5,0.005537157078271944
Back to the 80s & 90s,tokrat ekskluziven dekaditi velik glasben hit večer del večer namenjen glasba glasba spominjati žuranje turist valentin babilon titanic eldorad kanu cas del pap začetek obet nostalgičen večer poln dober glasba druženje pričetek predprodaja vstopnica sputnik svetoven kavarna število omejen,2020-02-07 20:00:00,801,103727819702351,5,0.009228639460626097
Cukrarna // Predstavitev,niz dogodek odprtje cukraren lokacija mesten muzej ljubljana konferenčen dvorana cukraren sladkor usoden požar tobačen tekstilen tovarna nadomesten bivališče družben obrobje vir navdih literat prostor ivati cankar umestiti zgodba žlahten najbolj srhljiv mrtvašnica najbolj brezizhoden okolje bivališče brezdomec projekt območje cukraren območje let volumen let star tovarna sladkor zaživeti nov prostor kultura umetnost javen zavod muzej galerija mesto ljubljana zgodba cukraren usmerjen blaž vurnik muzej galerija mesto ljubljana kontekst met gabron majda služba razvojen projekt mol predvajati posnetek zgodba cukraren jerneja šipoš scapelab zasnova maga matej demšič oddelek kultura mol pomen nov prostor mesto širok blaž peršin alenka gregorič muzej galerija mesto ljubljana vizija nov prostor,2019-12-10 11:00:00,516,123191654959,5,0.009285800384090744
Brezplačno za poslušalce NET FM: Koncert Luka Basi!,jutranji ekipa radio neti torek november sklop južen ritem pripravljati ekskluziven glasben večer izbran poslušalec radio neti mladenič noč obnorel srce slovenka uspešnica istrijanka ruža sedati noć uspešen dueta vrhunski tuj glasbenik jola marka škugor lidij bačić leto najbolj priljubljen izvajalec poslušalec radio neti tokrat prvič samostojen stopiti povsem zgodba luk basa videti slišati unplugged koncert izbran poslušalec neti brezplačen vstopnica poslušati delovnik jutranji program neti,2019-11-05 20:30:00,792,178594352259563,5,0.009859997254391467
Akustični KOALA VOICE v KGB,razprodan koati voica skupina lanski leto zaključiti turneja španija korak narediti previden premišljen izštekati spomlad let jure longyki takrat skrben izbrati prostor kjer program ponoviti petek januar datum uspešnica disca frid nipti veda premikanje lep zadihati akustičen kitara ščepec elektrika vstopnina eura,2020-01-24 21:00:00,552,121251731253935,5,0.010620740467303583
"Bass Fighters XL / Prolix (UK) [Blackout, Trendkill]",bfxti prolix blackouti trendkill records maribor štuk bass fighters prolix kje štuk cesta maribor kdaj petek november ogromen veselje velikan drum nbass scena premieren najbolj aktiven dja producent scena oče trendkill records star sablja blackouti edin prolix kariera lahek pohvala ogromen izdaja znan velik založba rama playaz ganje tek vision shoguna renegada hardwara viper virus letos izdati album blackouti manjkati velik dogodek kariera sodelovati velik ime chas anda status noisio blacka sun empir audio dca breaksa gridlok plesen vib napolniti dvorana cel svet nastopati velik festival edca las vegas let iti roll bassrus zato gledati zamuditi drum nbass iti gon massiv lineup prolix blackouti trendkill records dominus diaboleti aveha anilina nukleus spenca woog vstopnica early bird sold outi presati bass fighters štuk dan dogodek štuk,2019-11-22 22:00:00,1188,202091796475825,5,0.010945849625233995
Glasbeno-plesni šov s Tanjo Žagar,uspešen glasben plesen turneja tanje odločiti čas nov priznan slovenski pevka skupaj dober profesionalen plesalec latinski ameriški standarden ples pripraviti nepozaben spektakularen glasbenoplesen ples zvezda slovenija videti tanje ostal plesen zvezda obljubljati ura glasba ples čustvo navdih zabava skratka večer čist užitek program namenjen generacija plesen ljubitelj glasben navdušenec nikakor zamuditi koncert zgoditi dvorana tabor maribor privoščiti dober novoleten darilo vstopnica blizek zagotoviti danes vstopnica volja,2020-01-24 20:00:00,958,204966850407469,5,0.011479911095034896
