naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Prižig prazničnih lučk v Murski Soboti,petek december čas miklošev senje otvoritev drsališče drevored martin luthr sejemski vrvež igriv vzdušje mesto oden prazničen soj lučka začeti prazničen december mesten jedro prižig lučka petek december,2019-12-06 16:30:00,1480,106084832756422,4,0.0022714717546926293
Stand up za mame Tadej Toš-nadomestni termin,standa mama tadej toš gostovati tadej toš predviden termin standa mama tadej toš četrtek marec nadomesten četrtek maj petek marec nadomesten petek maj sobota marec nadomesten sobota maj nedelja marec nadomesten nedelja maj standa mama imeti pojem prepustiti toš pogledati letos pripraviti mama tošev predstava ruski rulet znajti prizorišče nikoli vedeti kdaj kje padel svojevrsten smisel humor ptujski običajen sprejet odprt rok oster pisan mavrica glaven nekje romantičen ironičen nesramen ciničen naslonjen primitivnost vulgarnost človeški toš šov posmehovati norčevati najbolj resen situacija življenje mnenje način moč ubraniti avtomatizacija brezčuten robotizacija življenje,2020-05-16 19:30:00,939,1781315578781427,4,0.0027611918577869553
CACIB Maribor & Pohorje 2020,mednaroden razstava pes pasma internationala dog show,2020-04-18 07:00:00,690,2753767638045379,4,0.003336839898835323
10. Nočni tek po stopnicah na Kalvarijo,zmagovalec tradicionalen tek stopnica kalvariti brezplačen dogodek kjer važen rezultat šteti udeležba stopnica voda grič severen stran maribor predstavljati vsakodneven rekreativen poligon mnog mariborčan dogodek brezplačen predhoden prijava potreben prijaviti lahek ura start sam tek lice mesto prijaven služba tekač startati nekajsekunditi razmik sistem prijavljen teči startnina prijava prijava možen dan prireditev naprej zapolnitev mesto več informacija prijeten treniranje pravilnik prireditev nočen tek kalvariti organizator univerziteten športen zveza maribor gosposvetski cesta maribor štartnina štartnina prijava število udeleženec odrasel kategorija omejen število udeleženec otroški kategorija omejen število zapolniti prijava več mogoč prijava možen dan prireditev naprej zapolnitev mesto start tek oza kasneje ura otroški tek organizator pridrževati pravica zadržanje starten številka potreba partnerjev dogodek starta starta tek ura plato športen dvorana vrbanski kalvariti maribor starta otroški tek ura plato športen dvorana vrbanski kalvariti maribor ura starta ostal kategorija tekmovalec startati sekunden intervalo teči lasten odgovornost podelitev podelitev nagrada otroški kategorija start takoj zaključek otroški tek nagrada prejeti dečko deklica kategorija mina kalvarček vključno letnik dečko deklica kategorija kalvarček letnik dečko deklica kategorija senior kalvarček letnik podelitev nagrada ostal kategorija takoj prihod zadnji tekmovalec cilj nagrada prejeti ženski moški rezultat neuraden rezultat tekmovalec kategorija objavljen infa točka organizator prireditev oza minuta zaključek tek pritožba možen minuta objava neuraden rezultat plačilo pritožba infa točka organizator pritožben komisija sestava vodja tekmovanje vodja meritev udeleženec tek obravnavati morebiten pritožba odločitev pritožben komisija dokončen uraden rezultat tekmovalec objavljen spleten stran dan zaključek prireditev ostal tekmovalec lahek pridobiti rezultat infa točka zdrav zabava dogodek oshe porsch maribor škoda slovenija energija plus zavarovalnica sati predan korak red bull under armoura slovenija decathlon slovenija nigrad bodifit maribox dogodek potek okvir festival mlad maribor organizirati mkca maribor več informacija,2019-10-04 17:00:00,1015,147827005308047,4,0.003528143298369351
Petkanje,praviti sproščen druženje trg petkanje predstavljati sproščen atmosfera petkov popoldan popestriti druženje glasben spremljati vrhunski kulinarik osvežilen pijača animacija,2019-06-28 15:00:00,929,2213825458876066,4,0.0039916172235468905
Prof. dr. Ana Krajnc odgovarja na vprašanja o disleksiji,drag starš občudovati vsakodneven dom urediti služben obveznost domač opraviti poskrbeti šolanje otrok mnog čas koronavirus znajti vloga učitelj verjeti vedno enostaven posebej otrok disleksiti del šola manj samostojen stati stran zato pripravljati brezplačen webinar kjer profa krajnca ustanoviteljica inštitut disleksiti odgovarjati vprašanje disleksija datum ura webinar ponedeljek ura dostop webinar join meeting meeting password zastaviti vprašanje vprašanje tema disleksija poslati elektronski naslov peter baliss webinar kasneje pripraviti skupek pogost vprašanje podati odgovor vprašanje možen zastaviti seminar pisen razdelek klepet živ čas webinar omejen minuta,2020-05-04 17:00:00,877,967780913286231,4,0.004357894227455374
20. Tek na Grintovec - 2KM Vertikal,jubilejen tek grintovec razpis,2019-07-28 09:00:00,772,169908039741050,4,0.004425690765398547
Kuhanu Na Koles'h,street food trucka ulicen hrana retra tovornjacek festival nov mesto cas velik sporten dogodek dolenjski gostovanje novomeska maraton mon,2019-10-05 13:00:00,708,209610856250655,4,0.005060331998494306
Animatlon 2019,oviratlon oratorijski animator nor nepozaben blaten zahteven moker družaben duhoven doživetje animatorski skupina prijava ekipa prijava posameznikov več informacija,2019-09-07 08:45:00,613,168440926533226,4,0.005144689050128787
Teden možganov 2020 v Mariboru: Človek ni otok,zanimati ločitev zdeti nemogoč zelo težek para hiter odločiti prekiniti zveza socialen delavec pristop odvzem otrok družina razviti možgani zlorabljen otrok človek današnji čas vedno bolj osamljen obramben mehanizem uporabljati medoseben odnos vprašanje letos marec odgovoriti izkušen psihoterapevt socialen delavec študent psihologija doktor družbosloven znanost brezplačen predavanje medicinski fakulteta maribor letošnji dogodek teden možgani pripravljati urški krampti diplomantek teološki religijski študij specializantek psihoterapija nuš kovačević tojnki psihoterapevtek psihologinja supervizorek supervizija barbar korošec dipti soc delavko specializantek vit vuk diplomantek psihologija nina kozinc diplomantek psihologija neja lešnik magister psihologija kdaj predavanje popoldanski ura kje medicinski fakulteta maribor taborski ulica vljuden vabiti spodaj najti podroben opis dogodek teden možgani maribor letošnji vsebina predavanje teden možgani odmeven zanimiv dogodek organizirati društvo sinapes letošnji teden možgani medoseben odnos slogan glas človek otok predavanje zvrstiti marec potekati popoldanski ura medicinski fakulteta maribor taborski ulica predavanje brezplačen predavanje potreben predhoden prijaviti podroben opis predavanje lahek prebrati spodaj ura medicinski fakulteta maribor izvajalka jan pogorevca naslov predavanje terapevtski odnos predavateljica jan pogorevca psihiatrinjati psihoterapevtek dejaven spremljanje zgodnji razvoj otrok družina govoriti potek psihoterapija različen vidik terapevtski odnos povedati dober psihoterapevtski odnos omogočati vzdrževati ura medicinski fakulteta maribor izvajalec andreja fištravec naslov predavanje nadčuten zaznavanje družben odnos predavatelj andreja fištravec dolgoleten asistent docent oddelek sociologija filozofski fakulteta univerza maribor bivši župan strokoven sodelavec raziskovalec zavod šolstvo inštitut družben odgovornost direktor inštitut aplikativen družben političen vprašanje govorilo zahoden koncept znanost znanstven razumevanje človekov zavest opisati izhajajoč kriza zahoden zavest družben delovanje institucionalizacija globalen konflikt npr oblika svetoven vojna hladen vojen govorilo zahoden znanost gledati intuicija ura medicinski fakulteta maribor izvajalka milen jelen naslov predavanje odnos primež obramben mehanizem predavateljica milen jelen psihoterapevtek psihoanalitičen psihoterapija ecpp izvajati individualen psihoterapija zavod psihoterapija izobraževanje znanost pamin maribor obramben mehanizem duševen proces nezaveden uporabljati zaščititi izogniti preteč čustvo travmatičen spomin strah izguba spoštovanje obramba imeti cena bolj manj odmik resničnost izkrivljati imeti neposreden vpliv medoseben odnos predavanje namenjen izvedeti več obramben mehanizem oblikovati delovati spreminjati prepoznati ozavestiti pomoč ohranjati duševen ravnovesje medicinski fakulteta maribor predavanje dosje predavati študent študentka psihologija maribor zamuditi izreden zanimiv serija kratek predavanje pripraviti študentka lubej dipti pes razviti možgani zlorabljen otrok sabin majerič dipti pes dogajati možgani ljubiti špeti novak zdrav odnos zdrav telo vit vuk dipti pes osamljenost postaja epidemija trajati ura medicinski fakulteta maribor izvajalka šinka naslov predavanje odvzem otrok mit resnica predavateljica šinka diplomiran socialen delavko bogat izkušnja predstaviti oseben pogled koncept socialen delavski deloven odnos praksa ospredje naslednji vprašanje kdaj csd pričeti obravnava družina kdaj potreben otrok umakniti družina ukrep vpliv otrok družina otrok lahek vrniti družina vedeti odločati otrok korist pogostitev medicinski fakulteta maribor medicinski fakulteta maribor izvajalec milenka kovačević naslov predavanje ločitev partnerski odnos predavatelj milenka kovačević psihoterapevt eapa diplo leten izkušnja psihoterapevtski del kliničen praksa delovati edukativen preventiven izvajanje reden delavnica predavanje področje razumevanje osebnost medčloveški odnos enouren predavanje govor ločevanje partnerski odnos spoznavati osebnosten zgradba odražati proces ločevanje ločitev zdeti nemogoč zelo težek para hiter odločiti prekinitev zveza para uspešen ločiti razlikovati par ločitev mučiti trpeti zapuščati zapuščen predavanje namenjen spoznati več lasten vzorec ločevanje meniti imeti področje težava,2020-03-16 18:00:00,937,1166812516702708,4,0.005584803464428654
