naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Velika gasilska veselica z Ansamblom SMEH,gasilka gasilec pgd blagovica vabiti velik gasilski veselica ansambel smeh kdaj kam igrišče blagovica paziti naslednji dan veselica dejan vunjak danes lahek pomagati poslan sms prispevati gradnja nov gasilski center priprava zdaj dan nor zabava blagovica videti,2019-08-16 19:00:00,780,1539411139633819,2,0.012038332835402954
PGD Ljubečna prireja tradicionalno Šentansko gasilsko veselico,pgd ljubečen prirejati vaba veselica kdaj sobota pričetek ura kje kocbekov cesta ljubečen odličen vzdušje poskrbeti ansambel klatež prireditev vreme šotor pričakati bogat srečel pijača hrana poskrbljen tekmovanje hiter moker vaja loschangriff prehoden pokal ljubečen kje parkirišče osnoven šola ljubečen začetek ura razglasitev rezultat nekje ura videti,2019-07-27 20:00:00,794,1109241609216103,2,0.016851079554566432
Angelska nedelja 2019 z ansamblom Banovšek,tradicionalen turističen prireditev angelski nedelja ansambel banovšek čebelarski povorek znamenit planinski pršjača velik šotor odličen hrana pijača zabava mlad gasilski tekmovanje zabava zvok ansambel banovšek vabiti lušten,2019-09-01 14:00:00,924,2866199630185676,2,0.01814547093679128
Velika gasilska veselica pod šotorom in 90-letnica PGD HOTIČ,prostovoljen gasilski društvo hotič praznovati let avgust ura slavnost parada prevzem nov gasilski voziti ura dalja zabavati dejan vunjak brendijev baraba prireditev sodelovati otrok vrtec taček imeti prostor dom zagotovljen zabava pijača jedač bogat srečel veselica velik šotor vreme vabiti,2019-08-24 17:30:00,639,1953061411623969,2,0.02010006511897522
Veselica Podbrezje Modrijani/ Petkova pumpa in Skupina Calypso,letos podbreški gasilec prirejati velik gasilski veselica petek modrijan sobota petkov pumpa skupina calypsa bogat srečol kegljanje odojka šotor vstop prost,2019-08-23 20:00:00,1461,342311496278955,2,0.02149392584712323
Gasilska noč PGD Oplotnica,prostovoljen gasilski društvo oplotnica organizirati tekmovanje hiter moker vaja gasilec löschangriff pokal občina oplotnica gasilski veselica ansambel udar svetlina ura začetek otroški animacija ura potekati tekmovanje hiter moker vaja nagrada ekipa moški ženski konkurenca prejeti pokal ekipa hiter izveden vaja prejeti prehoden pokal ekipa hiter izveden vaja prejeti denaren nagrada višina ura dalja gasilski noč ansambel udar ansambel svetlina hladen pijača okusen hrana bogat srečel poskrbeti domač gasilec gasilski noč vreme šotor gasilski dom oplotnica lep vabiti,2019-08-10 17:00:00,1266,391918344528416,2,0.023952804172403773
140 let PGD Šoštanj-mesto,program prireditev pgd šoštanjmesto petek ura dalja star mlad skupina jan potrč banda san ega rocka partyzan sobota avgust ura tekmovanje star brizgaln veselica ansambel modrijan nedelja avgust ura nov gasilski voziti ansambel spev tanja žagar specialiteta vol pečen odprt ogenj prireditev šotor gasilski dom šoštanje vstopnina praznovati skupaj,2019-08-16 20:00:00,1278,105817789459193,2,0.025281699482466065
Gasilska veselica PGD Hotedršica z ansamblom Navihanke,vabiti pridružiti nedelja ura dalja lovski dom hotedršica zabava glasba dober vzdušje poskrbeti ansambel navihanka pijača jedača poskrbeti domač gasilec pripravljen bogat srečel vstopnina,2019-07-28 17:00:00,647,106488932720599,2,0.029363354017257603
Aninska NOČ 2019,aninski noč pgd stojnec prirejati tradicionalen aninski noč potekati velik prireditven šotor vstopnina petek ansambel upanje dražen zečić sobota poskočen muzikant prireditev potekati velik prireditven šotor igrišče gasilski dom stojnec vstopnina prirejati bogat srečol poskrbljen hladen odličen najbolj nor veselica videti stojnec kjer glasba plesišče čakati dober kapljica domač opalenka vabiti pgd stojnec aninski noč,2019-07-26 19:00:00,1776,1460877777470994,2,0.029845140437865233
Aninska NOČ 2019,aninski noč pgd stojnec prirejati tradicionalen aninski noč potekati velik prireditven šotor vstopnina petek ansambel upanje dražen zečić sobota poskočen muzikant prireditev potekati velik prireditven šotor igrišče gasilski dom stojnec vstopnina prirejati bogat srečol poskrbljen hladen odličen najbolj nor veselica videti stojnec kjer glasba plesišče čakati dober kapljica domač opalenka vabiti pgd stojnec aninski noč,2019-07-27 19:00:00,586,1460877777470994,2,0.029845140437865233
