naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
SPACE Clubbing : Masquerade Party,primorski bližati pust končen dan kjer lahek zapustiti pravi nadati nor kostum iti zurati totalen odklopiti volja spaca clubbing klub marca pola najbolj nor priložnost življenje velik dober klub marca pola nor žurek poln nor animacija mcje bruhalec ogenj izjemen dje presenečenje zato najbolj nor zabava čakati velik presenečenje nagraden igra dje contest umetnik malce podpora nebo nagrada najbolj izviren maska pomemben kdaj čas trajan kje klub marca pola nov gorica starosten omejitev vrsta glasba trapa balkan sam hit priti račun skrbeti lina lara lens facebook instagram tba tba tba karta izbrati promotor čimveč šola cel primorski lahek zagotoviti vstopnica možnost nakup bencinski serviseti omw trafik onlina prodaja karta early bird prodaja uraden promotor miza infospaceclubbing gmailc promotor lahek zagotoviti karta nov gorica krist okroglič sti vena pilon ajdovščina alin skralovnik ijan špacapan lara čebron auror demiq sti sežan zarja zupan šolski center nov gorica denis krznarič leo vodopivec manuela brica šca postojen tjaš žgavec gimnazija nov gorica elen hati ševič ivati štruklja leo vidič matija arčon aljaž hladnik maša vajda ers sce nov gorica elekter nov gorica luk vidmar rok gorkič dramski gimnazija nov gorica graciell nikolič bios šempeter gašper novšak šola koper melisa isakoski rusjan lovra jerkič nel bratož nejc gorkič matija košut kris pavlina,2020-02-28 22:00:00,674,190837820966492,1,0.00416953372148343
Shod Na Baču - Big Foot Mama / Siddharta,bačka shod sobota siddhart big foota mama norton predprodaja vstopnica sistem event eura prodaja vstopnica dan dogodek prireditven prostor eura nedelja ansambel furman bača ilirski bistrica,2019-07-27 21:00:00,2856,111975658819663,1,0.006537886508881861
Oktoberfešta na Dolenjskem 2019,dolenjec pripravljen velik oktoberfešta dolenjski letos velik šotor čakati nepozaben dvodneven fešti tokrat parkirišče qlandio nov mesto petek oktober petkov pumpa mamba kings sla tanje žagar sobota oktober praznovanje rojsten dan aktualov gala gost večer jasmin stavrosa služben stranica vstopnica tima outi caf qlandio nov mesto event petrola slovenija mynights vstopnica pozor število vstopnica omejen starosten omejitev vstop možen veljaven oseben dokument dan dogodek cena vstopnica znašati čakati pridružiti zabava let dolenjski,2019-10-18 21:00:00,3370,286632581440562,1,0.00785542528018066
RNB Reunion ∣ Halloween ∣ Cvetličarna 31.10.,rnba reunion halloween cvetličaren oktober super začetek sezona nadaljevati velik rnba reunion halloween vila cvetličaren privabiti vampir volkodlak ostal srh zbujajoč mesten pošast pognati kri telo beyonec tyg cent carda travis scotti bruno mars chris brown wiza khalifa justina ciar savaga ginuwin sean paula drak montell jordan rihanen post ciar rkelly dje khaled ostal kings rnba dje sam biy dje dje sheka vstopnina priporočati nakup event petrola nakup vstopnica omogočati vstop vrsta aga limiti infa msg rnba reunion,2019-10-31 23:00:00,1316,43956324012,1,0.008409796847510708
Ivan Zak @PrešaLoungeBar,uvod vesel december prešiti začenjati megasupertruper decemberski program prešiniti oder sobota predstaviti ivati volarić zak hrvaški romantika zapeljivec angelski glas ivati zak predstaviti odličen hit manjkati pesem pretjerovati bolje bolje tka krasti številen vstopnina eura možen rezervacija vip loža informacija četenimanjkati,2019-11-30 20:00:00,767,1431651697054096,1,0.008858273004680003
La Fiesta w/ Erik Gross in Jay Bolk,vrhunski mondialov žur ponoven srečati klub haciend fiest bera fešti gost priti vzhajati slovenski zabaven glasba jay bolko taprava podlaga poskrbeti frend erika gross pokal vald oder fiest bera fešti kdaj sobota zato lahek notr dje mrx sitigang rezident dje exyuga latina balkannn jay bolko yti fba zuneja lokalen warmup dje erika gross fba mixcloud vstopnica dan dogodek število karta omejen miza marjati karta dobiti gašper dular nina savnik maruša zal roguljič loren šinka sven blazinsek vitan verstovšek maura rimca pio srpčič,2019-11-16 22:00:00,521,324053571512556,1,0.011655506017728924
Mondialov Red Love Party Novo mesto,mondial red lov party vrač nov mesto totalček znova znamenje ljubezen pozitiven energija bodoč maturant pokazati zaplesati mondial ples solzica oči spomniti nepozaben trenutek ostal doživel minilo maturanc kje totalček nov mesto kdaj petek dress coda praviti rdeč lineup notr dje bekki mondial resident dje fba lineup bojler dje chum hous dje mondial resident dje fba skrit dje gost vstopnica dan dogodek miza sms vstopnica dobiti nik bezjak jura barba david slak andraža barba nina savnik zal maznik lovra lajkovič pio špan zupančič mauren karina godnjavec maruša maj oštir turka karmen lubšina,2019-10-30 21:00:00,710,259098960912838,1,0.01211669616508061
Božični Red Love Party Maribor,drag štajerec slišati letos zelo priden zato december ponoven obiskati šušljati avgust noreti krf september štuk dvigovati sider brava začeti počitnice mazanje biftek čas skupaj čakati dolg brada star vedno vitek kost pomigati bok pokazati star dober ded duša vedno mlad razigrati odločiti potovalen nagrada obdarovati najbolj navihan mladina čakati velik del zato počasi posloviti ostati priden videti december velik božičen red lov party začetek počitnice ogrevanje lep teden mladost izlet štuk maribor december dress coda red vstopnica reden zadnji vstopnica mondialov promotor izbran prodajalec anje korošec anža mlakar dominik kovačič stel tijan krasič lan rabzelj szkti matica beber mernik serša esten kirbeti sšgti naj grizold živ leitinger laris jovan szkti študent jurje topalovič jakob dolinšek starosten omejitev vstop mogoč izključen oseben dokument infa miza mil lina dje dey klub cirkus ultra europiti papay club zrec tba glasba pop sla balkan komercial hiphop technaža švajs frend priprava božičen videti plesišče,2019-12-20 21:00:00,712,202091796475825,1,0.012419154080976385
Techno Oldies Goldies,oldies kmalu ponoven povratek kolodvor kersnikov označen november star dober tehen premog tokrat naložiti strojevodja dojaj pridruževati king organon slednji jačati biceps rezident serija elements navigator nanizanka chill spaca king trenirati kolektiv bildati gumitwist vedno obračati gumb trio niplodok slednji dajati jati consumera vsesplošen tehen veteran psytranec express mali floor voziti izkušen agent mushro mlad moč sun wukong čuč techen bazen dojaj organon ebking psytranec bar agent mushro flying carpeti sun wukong flying carpeti chag rec vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec olaiic infa infa garderoba lost founda gmailc,2019-11-09 23:00:00,929,126700024052347,1,0.012743828171626575
Who Am I? / Ekskluzivna zabava v maskah / Season Opening,wha season opening special guesti paola barbat wha zabava poln življenje enkrat mesečen umakniti skriti magija izbran ibiški hous ritem moto dress impress metuljček kravati večeren obleka čaroben mistika zabava odvijati intimen food porno izbran animacija kjer poskrbeti srečanje pozabiti raje vračati družba ponuditi dober deep hous hous glasba mičen plesalka hostes poseben ponudba priznan penina slasten prigrizek rdeč nit večer maska prejeti vhod maska dodati tovrsten druženje dodaten skrivnosten senzualen naboj prihod dogodek maska dobiti welcom drinka dresscoda blacka whit upati priti družba pozaba sprostiti dober energija lep človek sexy hous ritem wha priti spoznati dar season recapa wha season opening wha valentina limited wha ltd wha wha season closing privati affair lina paola barbat iti alexserr burna residency wha resident getfunky rec sharka lab doctors musica lab defined records proper musiqu lemona juica rec fba sce barbs event infa dati prizorišče location food porna tobačen ljubljana starosten omejitev aga limiti limiti iti earlybird only tickets eura whera buy presati prevendit eura infa whoamis trafik omv dan dogodek ati door miza infa tabla infa whoamis izgubljen predmet lost founda infa whoamis,2019-09-14 22:00:00,823,700164717017979,1,0.013789599410694244
"Ivan Zak - PETEK, 29.11.2019",petek ponoven oder prihajati popularen hrvaški pevec ivati zak občinstvo razveseljevati glas privlačen videz zapeti nov star uspešnica milion pretjerovati dugovati ljet škrip veza bolje bolje naučiti zbog pamet vstopnina predprodaja karta bowling center strika cena karta predprodaja dan dogodek starosten omejitev pričetek dogodek dalja informacija vstop vabiti,2019-11-29 22:00:00,850,676111792501261,1,0.013804398792591733
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana",primorski fešti cirkus letos študentski klub primorski regija pripravljati fešta primorski fešt letos predpordajati vstopnica sistem dalja early bird vstopnica paketa naslednio vstopnica paketa nasleden vstopnica prodajen mesto sistem karta karta predprodaja lahek vstopiti cirkus ura organizator primorski fešta ljubljana primorski študentski klub kgti kati kiti ktti kšs kšop kšok kišd kšopp kšib kzti lahek enkrat rodilo najraje primorec primorski fešta šprica piti primorcismonorec mon dejšprica starosten omejitev organizator pridrževati pravica sprememba program odpoved dogodek,2020-02-20 11:00:00,1083,237302949627686,1,0.014456691241489829
Mc Stojan // Petek - 20.9.2019,prvič oder petek september mca stojen hit mca stojen salja broj mca stojen mca stojen miam mca stojen udahniti dubok mca stojen ati vstopnica karta dalja volja bowling center strika cena število karta omejen karta dan dogodek vip stojiščmiza stojišče oseba vključevati vstopnica starosten omejitev spoštovan obiskovalec opozorilo prositi imeti prihod pripravljen veljaven oseben dokument oseben izkaznica poten list vozniški dovoljenje slika telefon veljati oseben dokument hvala razumevanje vabiti,2019-09-20 22:00:00,1678,676111792501261,1,0.015493695409027675
"Največja Halloween zabava | Mambo Kings, Pop Design, Kingston",drag čarovnik zamuditi velik zabava letošnji jesen prihajati halloween zabava leto divji zabava več obiskovalec nepozaben noč velik ime slovenski žurerski scena mamba kings pop design kingston dje mitch dje chum vstopnica volja prodajen mesto mojekarta vstopnica super cena mlad let vstop spremstvo starš zakonit skrbnik videti,2019-10-31 21:00:00,3482,181906471980465,1,0.01562266154976342
Noč čarovnic 2019 / Big Foot Mama / Poskočni Muzikanti,noč čarovnica prireditven dvorana qcenter ptovati prihajati velik strašen halloween zabava ptuj širok okolica četrtek oktober big foota mama poskočen muzikant infected dje vstopnica predprodaja vstopnica volja olaiic prodajen mesto trafik omv vstop omogočen oseba star let mlad spremstvo starš linka nakup vstopnica vabiti prireditven dvorana qcenter ptovati puhov ulica ptovati,2019-10-31 21:00:00,2765,108248812537346,1,0.01604250087424414
Noč čarovnic 2019 / Big Foot Mama / Poskočni Muzikanti,noč čarovnica prireditven dvorana qcenter ptovati prihajati velik strašen halloween zabava ptuj širok okolica četrtek oktober big foota mama poskočen muzikant infected dje vstopnica predprodaja vstopnica volja olaiic prodajen mesto trafik omv vstop omogočen oseba star let mlad spremstvo starš linka nakup vstopnica vabiti prireditven dvorana qcenter ptovati puhov ulica ptovati,2019-10-31 21:00:00,1488,108248812537346,1,0.01604250087424414
PRVA Največja / Veliki OPEN AIR - XTIME Ptuj 6.9. / 16+,nov sezona nov izziv nov zabava začetek šola pripravljati velik open air dogodek parkirišče klub xtima ptovati zabava razdeljen del zunaj open air oder notranji dogajanje zunanji oder skrivnosten oder inteligenten luč djs razkriti postopoma notranji oder bolj skrivnosten djs razkriti postopoma program zabava razkriti sproti vstopnica predprodaja kontigent predprodaja razprodaja predprodaja vstopnica promotor oza srednji šola ptuj maribor prepričati volja omejen število vstopnica velik starosten omejitev zabava pričakovati neverjeten zabava neverjeten energija dodaten informacija infa prvanajvecjasa,2019-09-06 21:00:00,1019,781593748564575,1,0.01645728144663296
RNB Reunion ∣ Absolut Season Opening ∣ Cvetličarna 28.9.,event napisati rnba reunion izžrebati vstopnica absoluti premium izžreban imeti vstopnica lahek unovčiti bon pijača vrednost september cvetličaren prihajati najbolj rnba zabava mesto rnba reunion obljubljati več rnba hip hop hit več premium mešanica top vajba ustvariti skupaj ladies fellas ready endorseda oura golden sponsor absoluti premium tyg nicka minati cent carda travis scotti bruno mars chris brown wiza khalifa justina ciar savaga ginuwin sean paula drak montell jordan rihanen post khelan rkelly dje khaled ostal rnba reunion cvetličaren september kings rnba dje sam biy dje dje sheka vstopnina olaio mesto omv trafik nakup vstopnica omogočati vstop vrsta aga limiti infa msg rnba reunion prive diskreten prostor lasten natakar hostes ločen toaleta več infa msg rnba reunion,2019-09-28 23:00:00,1452,43956324012,1,0.018821193381403742
Mondialov Red Love Party Ljubljana,helti party peopel mondial backa ljubljanski maturant rdeč majica neštet spomin tokrat ustaljen lokacija cvetličaren nov nor ples zabava trenutek spomin delo zajeti družba val energija prevzeti sprejeti mondialov ples kdaj petek starta kje cvetličaren lina michaela mik iti dje chum sla arca sla tba vstopnica razprodan reden prodaja razprodaja vhod mondialov promotor izbran prodajalec starosten omejitev vstop mogoč veljaven oseben dokument infa miza ivati mondialov promotor karina katja nered sar hotić črta komaca gašper fon gorazda cernjak kaj možina artača nejc košmrl patricija rijavec žig pirce sar šmajgti exclusiv corf boatparty srečnežev priboriti vstopnica boatparty ljubljanica glaven dogodek cvetličaren vstopnica vstopnica lahek zagotoviti mondialov promotor dalja reden cena boatparty vstopnica neprecenljiv videti cvetličaren,2019-09-06 22:00:00,1547,43956324012,1,0.018844284813581587
Season Opening W Vanillaz,klub mansion pripravljen nov sezona žur uvertura zabava nadaljevati vikend začiniti svetoven znan dje vanillaz poznan obraz številen mednaroden festival prizorišče evropa severen amerika azija blizek ultra europiti uživati podpora številen velik ime martin garrix david guetti tiesto celj pripravljen warm closing flex vanillaz fba klub mansion celj trg celjski knez celj slovenija vstopnina entranec pričetek kavarna mansion dan dogodek starosten omejitev door policy lost founda izgubljen,2019-09-14 23:00:00,704,482638668490335,1,0.018995152090134845
