naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Siddharta akustično / 26. 12. / Nova Gorica,siddhart novoleten doživetje premium ogrevan šotor občinski stavba nov gorica vstopnica event petrola ticket spleten nakup vip miza siddhart velik ime slovenski glasben scena pot začeti dober desetletje takrat štiričlanski zasedba ime nadeti naslov roman nemški pisatelj hessej zato zvok obogatiti saksofon izdaja prvenec doseči platinast naklada skupina kmalu podati medijski pohod trenutek postati slovenski fenomen let slediti siddhart uveljaviti velik ime slovenski glasben scena pesem prežet unikaten zvok zasidrati srce poslušalec edin lunana sonce leden naiven ples medrevo uspešnica del železen repertoar slovenski rocka scena izvedba pesem skupina prikazovati nov luč siddhart vedno ostajati zvest zvok album nomad studijski album izšel september vsebovati pesem nastajati buden oko kamera poslušalec dan izid skupina velik koncert razprodan ljubljanski hala tivoli pričeti vseslovenski dvoranski turneja siddhart let prejeti več nagrada zlat piščal pesem medrevo pesem let album let nomad izvajalec let video siddhart medrevo siddhart dolg pot dom unplugged siddhart rava unplugged siddhart leden unplugged siddhart nastal unplugged links siddhart novoleten doživetje premium ogrevan šotor občinski stavba nov gorica vstopnica event petrola ticket spleten nakup,2019-12-26 20:00:00,1041,507916039218457,0,0.002535028152637598
Joshua Redman Quartet // 18|3 // Musicology Barcaffe Sessions,ljubljana sklop serija koncert musicology barcaff sessions slovenija sodelovanje cankarjev dom prihajati najbolj znan najbolj karizmatičen umetnik srednji joshu redman kvartet linhart dvorana cankarjev dom nastopiti marec ura zasedba joshu redman saksofon aaron goldberg klavir reuben rogers basa gregory boben redman sin deweyje redman plesalka rene shedroff zato mali srkati vpliv različen glasben žanr let glasben popotovanje začeti klarinet potem tenorski saksofon izpustiti danes rubrika glasben vpliv našteti ime john coltran ornetti colemen adderley areth franklina earth winda anda fir beatles princ polica led zeppelin oče deweyje redman študij znajti new york kjer globok zabresti tamkajšnji jazzovski scena kmalu poseči mednaroden nagrada monek let slediti pogodba založba warner brosa izdaja prvenec nominiran nagrada grammy slediti album spiriti moment freed groov timeless tales for changing times glasben scena zasidrati uspešen jazzist dodati sopranski altovski saksofon danes izdati album uveljaviti glasben založba warner brosa nonesuch sodelovati ime king bill frisell marcus miller rolling stones herbio hancocka stevio wonder zavihteti neštet top list glasben časopis portal trikrat nominiran najprestižen nagrada grammy vstopnica naprodaja središče cankarjev dom pooblaščen prodajalec eura dan koncert eura,2020-03-18 20:00:00,626,1573580226230353,0,0.0035359829420838988
Gibonni - valentinov koncert // 14.2.2020,valentin koncert gibonen medvod gibonen ime svet glasba sinonim dovršen kvaliteta vrhunski glasben dosežek destletje uspešen združevati rocka pop element dalmatinski eten gibonen dobitnik porinov velik glaseben priznanje odličen delo povsem upravičevati podatek let los angelo times umetnik uvrstiti najbolj obetajoč glasbenikov svet neangleški govoreč tržišče pesem slaviti ljubezen slava ljubezen obstajati dober izbira obisk koncert dan zaljubljen vstopnica volja prodajen mesto event,2020-02-14 20:00:00,2599,366010447164927,0,0.004909551807477911
Klapa Rišpet ● Slovenske Konjice - Športna Dvorana ● 22.11.2019,klap rišpeti november slovenski konjica športen dvorana začetek prodaja vstopnica onlina prodajen mesto event petrola slovenija razprodan koncert ljubljanski križanka klap rišpeti slovenski turneja okvir nastopiti slovenski konjica gost večer klap rišpeti slovenski konjica zadnji let klap rišpeti avtorski skladba odlicen priredba star uspešnica uspel pridobiti številen oboževalec tuba pesem prst zapleten prepevati skupaj pevka jelen rozga poslušan vec krat mislina krat kad pošel krat nov hit šti ljub ociti kazati krat produceda kod events vign,2019-11-22 20:00:00,1002,104060176298332,0,0.007634825388573343
Klapa Rišpet ● Novo Mesto - Dvorana Leona Štuklja ● 30.11.2019,klap rišpeti november nov mesto dvorana leon štukljati začetek prodaja vstopnica ponedeljek onlina prodajen mesto event petrola slovenija razprodan koncert ljubljanski križanka klap rišpeti napovedovati slovenski turneja okvir nastopiti nov mesto gost večer edin goran karan klap rišpeti nov mesto dvorana leon štukljati zadnji let klap rišpeti avtorski skladba odlicen priredba star dalmatinski uspešnica uspel pridobiti številen oboževalec tuba pesem prst zapleten prepevati skupaj dalmatinski pevka jelen rozga poslušan vec krat mislina krat kad pošel krat nov hit šti ljub ociti kazati krat,2019-11-30 20:00:00,922,403966869741694,0,0.008565196533326963
Gala večer z Janom Plestenjakom - Cankarjev dom 25.12. 2019,standa outi ponosen napovedovati premieren akustičen koncert jan plestenjak cankarjev dom razprodan arena stožica nastop poln hala tivoli večkrat razprodan križanka uspešen slovenski glasbenikov dolg let vrač prestižen gallusov dvorana cankarjev dom premieren akustičen koncert jan plestenjak hram kultura glasben vrhunec iztekajoč let oder pridružiti poseben gostja češnji torta obiskovalec slišati uspešnica čist nov aranžmaj jan plestenjak let glasben ustvarjanje album nanizati zavidljiv število radijski uspešnica leto postati ponarodela aktualen singel roka stran dober pot postati velik uspešnica prihajajoč poletje gati koncert cankarjev dom zaključek uspešen glasben sezona termin razprodan vstopnica volja blagajna cankarjev dom prodajen mesto event cena vstopnica vip parter sedišče kategorija sedišče kategorija sedišče iio kategorija sedišče kategorija,2019-12-25 20:00:00,2848,1091661721036251,0,0.00914475060676582
"Razprodano - Gal & Severa Gjurin _sedišča - KluBar, Kranj",konec tradicionalen prešernov smenje kranje pravi trenutek umirjen kulturen koncert prijeten domač ambient gati sever popeljati celoten glasben ustvarjanje sever gati sodelovati mladostniški let danes ustvarjati znotraj lasten solističen glasben kariera čas pot dopolnjevati sever dober let udejstvovati likovnica pedagoginja koncertirati izdajati pesem plošča sodelovati različen projekt gati pevec avtor multiinštrumentalist producent literaren ustvarjalec dober let izdati več samostojen plošča napolniti dvorana zavezanost predanost glasba močen besedilo pesem peti pustiti neizbrisen pečat današnji glasben prostor koncert sedišče sedežen red zato število vstopnica zelo omejen pozicija sedišče lahek preveriti vrata odpreti koncert začeti točen vstopnina vstopnica sedežen red vrsta vstopnica sedežen red vrsta stojišče stojišče zarisan območje označba pozicija območje stojišče simboličen pomen lahek stati kjerkoli predpisan območje dodajanje stol del prostor prodajen mesto lokal klubar lahek kupiti predprodaja nakazilo trr povezava evstopnica,2020-02-08 21:00:00,548,274530155913754,0,0.009643358733210998
TABU akustik,odpeljati festival arsan kjer skupaj tabu odpeljati visok oblak vstopnica predprodajen cena april prodajen mesto event tabu najbolj priljubljen slovenski zasedba pretekel let praznovati obletnica delovanje album podirati rekorda domač glasben scena singla album dober viti tabu lahek srce postati brezčasen vedno navduševati generacija poslušalec album mali nor ideja doseči platinast naklada singel poljubiti največkrat predvajati hit let obletnica delovanje izdati besti album pripraviti jubilejen turneja festival arsan predstaviti nov akustičen projekt izštekan,2019-07-27 21:30:00,751,476392372390694,0,0.011191453152192199
"12.11. POD, Alien Ant Farm, Dead Girls Academy - Kino Siska",koncert razprodan zgoditi velik hala kino šiški vstopnica dovolj blagajna kino šiški show nota nota sold outi iti will happen bigger venu kino šiški thera shoulda enoug tickets for everyon ati kino šiški box offica alter november vrniti preteklost kino šiški pretresti kulten alien ant farma poznati izjemen popularen ameriški bend zasloveti pomoč lasten koncert turneja neštet razen nagrada grammyje ipd pozen singel southtown aliv youth nation najbolj znan singla lost forever slišati radijski postaja zaslediti filmski bend tvoriti sonny sandovati vokati marcos curiel kitarski nažiganje tra daniels basa wuv bernarda nabijanje boben prihajati san zdaj izdati studijski album zdeti vmes ponikniti imeti vseeno aktiven scena kjer sodelovati ime katy perry bad brains mik muir suicidati sen dog cypress hill novica vrnitev evropski odreti jesen letos požeti koncert povsod razprodajati vroč žemati imeti zasluga alien ant farma bend večina pozen odličen priredba hit michael jacskon smooth criminal imeti ponuditi več album hitsingla platinast nagrada nesmrten prisotnost video igra film bend delovati let drzen prvenec greatest hits nato podpora bend pap roach osvojiti odreti srce poslušalec koncert otvoriti ameriški gothica rocker dead girls academy varovanec kulten založba victory records november kino šiški ljubljana alien ant farma dead girls academy,2019-11-12 19:00:00,2067,154287574875,0,0.011874146498129139
Iron Median | Ch0,iron median tribut iron maiden heavy metati sla aliv after death december metelkov channeti zero slovenski eddio vstaja grob skupina iron median tribut ambasador iron maiden let vrač odreti nov zagon svež kri predbožičen koncert metelkov channeti zero december skupina iron median let basist big foota mama alen steržati tribut poklon legenda angleški iron maiden skupina uvoden koncert ljubljanski metelkov let nastopiti glava množica festival beerfesti beograd tedaj naslednji let navduševati izjemen zvokoven vokalen original butičen repertoar najbolj priljubljen skladba iron maiden slovenski odlitek lutka eddio številen koncerten oder slovenija metelkov orta lent rocka otočece štuk mostoven mca pekarna mca brežice bazen kranje iron median gostovati avstrija italija hrvaški srbija pridobiti naziv dober iron maiden tribut band evropa let začasen raziti let vračati nov zagon svež kri pomlajen zasedba pravi priznan slovenski metalec rocker jan leščanec vokati skyey rocka tomšič kitara matjaž tozona kitara iron median alen steržati basa big foota mama tina horvati boben dekadent aliv after death fba vstopnica pisati infa ime priimek prireditev količina karta vstopnina dan dogodek,2019-12-19 21:00:00,645,410276612466714,0,0.012569335859497708
