naziv,opis,datum_od,stevilo,sifra_prizorisca
Seka Aleksič PURE Night Club Ljubljana,sobota oktober znamenje prelesten div balkan karizma večen hit razvajati let prihajati edin sekati aleksica svetlati aleksić rosen prvič nastopiti mnog estradnik sekati pot začeti balkanski gostilna danes lahek pohvala studijski album legendaren hit pravi balkanski zabava mat pevka igralka voditeljica dizajnerek kraljica sekati zagotavljati nepozaben noč club pura vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2019-10-05 22:00:00,756,445713185468708
Back to the 80s,velik glasben hit žurati diskoteka turist valentina babilon dje pero,2019-02-15 20:00:00,1505,103727819702351
BREKA FEST XII,društvo damba represents open air festival brek festi xio dati location srednji bistrica prekmurje slovenio entry infa brečernina for brečernina for petekfriday serrabulha party deathgrinda metati brutati sphincter pooliticati goregrinda železobeton sla thras metati odpisan sla hcpunka throattwister cra groovehardcoremetati senf cra crossover sobotasaturday carnati diafragma goregrinda nuclear vomiti pti goregrinda ugf autger metati hardcor sludga end cra goovethras metati just war hardcor punx darka sphera sla symphonica blacka metati dead corcorasa sla crustpunkgrinda iritator sla grindcor proma video fre camping fre parking fre pasulja fre chiti cona caren ping pong video projections during day thanks for helping promota sharing etca thera,2019-08-30 19:00:00,929,2267073363343103
Mambo Kings in Tanja Žagar,soboten večeren žura poskrbeti skupina mamba kings tanje žagar velik šotor uživati dober glasba nor plesati vstopnina,2020-04-04 21:00:00,1677,129002367674177
Klapa Šufit,velik veselje sporočati bob bar komenda prihajati klap šufit prazničen december lep dalmatinski melodija zabavati znati začetek nastop klap šufit cena vstopnica simboličen nakup možen bob bar dan koncert rezervirati videti nastanek klap šufit segati leto tomislava veršić zbrati skupina nadarjen srednješolec podstrešje gimnazija kjer začeti klapski petje let prvič javen nastopiti splitski cerkev gospa zdravljati let klap pričeti pripravljati nastop festival dalmatinski klap omiš sčasoma klap gimnazijski klap prerasel pravi dalmatinski klapa nastopiti številen festival obvezen sodelovati omiški festival klap let trikrat postati absoluten zmagovalec festival naslednji let slediti velik glasben nagrada vrhunec preboj let doseči uspešnica dirati moj ljubav postati velik hit klapski glasba kanal youtuba imeti več milijon uspešnica jubin ričati zavezan proplakat srce siguran nisa oprostiti duša naštevanje zagotovo pesem kap kisati zmagovalka festival vdp kašteti pesem uzeti nebo sunec zmagovalka večer dalmatinski šanson let lahek pohvaliti številen uspeh nastop stožica ljubljana bonifik koper zlatorog celj tabor maribor itd izdati nov album naslov oprostiti duša letos osvojiti diskografski nagrada porina dober popfolkloren album slovenija imeti dom navdušiti očarati vrhunski glas nastop resničen dober videti prekrasen dogodek priti uživati,2019-12-21 20:00:00,548,311590396354663
Skater @Bobi bar Komenda,sobota skater skupina skater štajerski glasben dueta prepevati slovenski plesen turba folk glasba rezervacija miza obvezen nakup boati rezerviran miza potreben prevzet kasneje dodaten informacija volja bob bar komenda tradicija zabava komenški okoliš vabiti,2020-03-21 21:00:00,587,311590396354663
Učiteljice @Diskoteka Anton,učiteljica diskoteka anton sobota marec pridružiti dogodek povabiti prijatelj obveščen novost ogrevanje privoščiti usna promil šans spas tarapan dunava lud kuča šok general feati severina kapetan hvala vstopnina party diskoteka anton cerkvenjak cerkvenjak diskotekaanton vabiti,2020-05-30 21:00:00,867,343838605664729
Slovenec in pol @Celje,slovenec pol dvoglav triglavski komedij torek december ura vabiti celjski dom celj komediti slovenec pol triglav očak visok simbol slovenstvo kupljen goldinar leto zlatorog skalnat raj zavit megla mit legenda prepojen znoj kri plezalen pionirjev nepogrešljiv partner vardar znan jugoslovanski narodnobudilen pesem prizorišče neustrašen upor okupator danes top instagram destinacija poleten mesec obljuden bolj trgovski center čas popust selfa aljažev stolp lahek premagati selfiti aljažev stolp triglav privabljati pisan množica vedno najti junakov japonka kasneje reševati helikopter spraševati vrag zgoditi vzpon meter nadmorski višina kren plaža perica aleša prijatelj podoben interes manj podoben značaj gora doživljati različen aleša član planinski zveza izkušen pohodnik voditelj komik perica človek izguba ike epski pustolovščina poln presenečenje komičen zaplet duhovit replik smeh odpreti večen dilema pravi sloven iti triglav vstopnina predprodaja vstopnina dan dogodek nakup vstopnica možen event prodajen mesto petrola pošta omv infa,2019-12-10 20:00:00,586,180930112823905
LUKA BASI#DJ Vuki#16.11.2019#MARCO POLO,simpatičen slovenski pevec dalmatinski duša luk basa poln dvorana slovenija hrvaški prihajati diskoteka marca pola praznovati let twitka burger program povezovati dje vuk torta zabava generacija predprodaja vstopnica prodajen mesto event petrola omv trafik kompas nov gorica big bang pošta slovenija cena vstopnicticket prices kontingent razprodan kontingent predprodaja kontingent kontingent pogoj vip miza cena locen vip vhod vip vstopnica boati sadje rezervacija vip miza infa starosten omejitev,2019-11-16 22:00:00,1083,190837820966492
Festival online: Vlado Kreslin,festival onlina gost vlada kreslina četrtek ponedeljek fba festival ljubljana uspešen četrtkov koncert kavč ciči obogatiti razširiti festival onlina četrtek ponovitev ponedeljek predstavljati najbolj prepoznaven uveljavljen slovenski glasbenikov vsakoleten gost ljubljana festival vlada kreslina premieren predvajati koncert lanski poleten festival skupaj slovenski nacionalen mladinski orkester taktirka živ ploj peršuh navdušiti občinstvo ljubljana festival čaroben križanka,2020-04-23 20:00:00,1383,70256676273
Otvoritev pizzerije v Kuchi,cia veselje sporoccati republika kuch pridobiti lasten pizzerija scus cos dett pizza sreda poslavljati kmalu peč goreti ponedeljek sobota goreti strast popoln test voljen hrustljav hkrati blagoslovljen značilen okus kompleksen pravtak dostopen laičen brbončica goreti ljubezen pridevnik grandiozen stavek mangio ben rid spessa molt amica vabiti otvoritev jesti dober pica kuch razlog najjača pica jáki testo drož testo delati slovenski ekološki tatarski ajda znan psevdonim nor ajda norost pot guzica lahkten fermentiran testo drož imeti prijeten arom žlahten okus več hranilo presnova bistven lahek kuchamada topping imeti preprost surovina sumljiv dodatek ime znati izgovoriti zato pica zelenjava delati sam edin dodatek posluževati ljubav včasih malce grenek dober ojačevalec okus mononatrij glutamati mtek zemlja mtek mtka ljubiti izogibati eksotičen surovina dobavljati mreža lokalen kmetija kratek dobaven pot pomeniti majhen ogljičen odtis bemteti sluvenski čebula ravn tka dober jok pravi lahek,2020-02-21 11:00:00,727,519039525236583
Samodajefesta the Original - Live@yourhome,samodajefešti ati youra hom besti techen musica samodajefešti beseden zlog moč upreti mnog zapoved zapoved electer publika obala obalen entuziast let aktiven premikati meja elektronski scena navdušenec leto zadati misija misija originati generacija spreminjati spreminjati način zabava dejstvo feštar dosti spremeniti neskončen vez prijatelj ljubezen glasba vragolija mašinerija pozitiven energija potreben pravi samodajefešta misija originati postati serija dogodek vedeti zato veljati aprilski fešta raje zamuda samodajefešti liv streaming lina ian alexandra madness boltzmann fsonik andrew techniqu alessio mrjoza preziosa liv samodajefešti ati youra hom besti techen musica sobota liv streaming infa coming soon,2020-04-11 22:00:00,514,1767047789992879
Punk Rock Holiday 2019,gisteren dejati lokers feesten weer het lumineuza ide gekregno volgenda jaar noga een naar slovenië trekkno voor punka rocka holiday hierbje dus dejati uitnodiging ons weer vervoegno ontmaagd worden diti genial festival aut vliegtuig fiets noga nieta besprokno alsook nieta daarvoor daaren noga gereisd word kijka hiera gewoon eff het enthousiasma nuchter noga altijda even groota als met pintje dejati maag vrouwen fuckboys grootouders zijna natuurlijka ook allemaal welek ons vervoegno als zich gepasti gedragen ook dejati pita vinden zijna natuurlijka klik aanwezig misschien aanwezig als geintresseerd benta zien wel wati van komti dio ticketverkoop begint september tomorrowlandlik minuten uitverkocht moeten dus tijda biti zijna groetje jullio barry,2019-08-07 04:00:00,808,1860172794292424
7. Salon penečih vin Ljubljana,salon peneč vino ljubljana lociran atraktiven lokacija srce prestolnica hotel slon nuditi odličen pogoj predstavljanje peneč vino visok nivo obenem atraktiven zanimiv domač tuj obiskovalec salon predstavljati vinar skupen vino uniformiran razstaven mesto del salon namenjen ponudba izbran kulinarika odličen družiti peneč vino sestaven del salon najaven dogodek delavnica voden degustacija zmagovalec salon bel peneč vino istenič prestiga exter brut bizeljski slovenija zlat grič penin vintaga štajerski slovenija slovenija vino kauran muscati brut štajerski slovenija slovenija rosé peneč vino vino kozinc penin joker zar brut dolenjski slovenija vipati penin rosé brut vipavski dolina slovenija čarg sinec donen regin brut rosé brut brd slovenija salon peneč vino ljubljana javen dogodek fotografiran stran organizator udeleženec prisoten medij udeležba dogodek posameznik privoliti uporaba fotografski material salon fotografski material salon uporabljen spominski obeleženje dogodek objava spleten stran salon socialen omrežje salon medijski poročanje dogodek promocijski aktivnost salon fotografija povezan ime priimek udeleženec organizator hrana fotografski material preklic privolitev oza omejitev obdelava stran posameznik,2020-02-14 15:00:00,1293,139866913924
Odprta kuhna Ptuj,prelep ptujski mesten trg letos dišati odličen jed daleč ura vijugati stojnica vabiti slovenski tradicionalen specialiteta mednaroden uspešnica moderen pouličen kreacija ustvarjalen krožnik slovenski chef druženje klepet fin grižljaj pospremiti kozarec dober vino kraft pivo kreativen napitek prijeten vrvež trg spomniti pogrešati kulinaričen zmenek star slovenski mesto pridružiti nazdraviti ponoven snidenje,2019-04-20 10:00:00,6894,996544940534722
Odprta kuhna Ptuj,prelep ptujski mesten trg letos dišati odličen jed daleč ura vijugati stojnica vabiti slovenski tradicionalen specialiteta mednaroden uspešnica moderen pouličen kreacija ustvarjalen krožnik slovenski chef druženje klepet fin grižljaj pospremiti kozarec dober vino kraft pivo kreativen napitek prijeten vrvež trg spomniti pogrešati kulinaričen zmenek star slovenski mesto pridružiti nazdraviti ponoven snidenje,2019-07-27 10:00:00,1944,996544940534722
Odprta kuhna Ptuj,prelep ptujski mesten trg letos dišati odličen jed daleč ura vijugati stojnica vabiti slovenski tradicionalen specialiteta mednaroden uspešnica moderen pouličen kreacija ustvarjalen krožnik slovenski chef druženje klepet fin grižljaj pospremiti kozarec dober vino kraft pivo kreativen napitek prijeten vrvež trg spomniti pogrešati kulinaričen zmenek star slovenski mesto pridružiti nazdraviti ponoven snidenje,2019-10-19 10:00:00,1518,996544940534722
LISA - Ljubljana International Swing Academy,join lisa celebrations ljubljana internationala swing academy lisa welcomes febrary march ljubljana slovenio amazing danceparty weekend will bring lots good dancesa greati musica new friends new knowledga anda authentica slovenian experienca ara happy welcom for first tima slovenio europiti michael gambel anda his musicians they will play liv for for parties jonathati stouti will quitara ara looking ati excellent workshops anda good levels auditions with oura teachers jenen applegarth jon tigert sharon davis ausuk nejc zupan sla sakati japuk michael jagger daniiti nikulina rus mario filippov rus woulda lik sincerely thanka embassy slovenio for their support anda financial contribution tackel travel expencesa for oura artists organization tea vintaga swing happy accept this new challeng anda will maka their besti bring real gam they ara gathering experienca alsa with theirs vintaga swing festival celjeslovenio swing break umagcroatio vix prechristmasa exchang ljubljana swing new year ljubljanaslovenio let spend som tima togethra,2020-02-28 17:00:00,1600,111980668819694
Srečanje harmonikaric in harmonikarjev ob Blejskem jezeru,dogodek odpovedati event cancelled,2019-09-08 10:00:00,1133,225889634176959
Ptujska NOČ 2019,fests predstavljati ptujski noč nastopajoč petek dejan vunjak skupina smiti dje ney nastopajoč sobota luk basa ines erbus dje ney kdaj petek sobota lokacija ptovati začetek ura konec ura pozor vstopnina skratka energija maksimalen vzdušje žurerski zato del spektakel ptujski noč party pijača hostesa red bull jägermeister oglaševanje big led screen prireditven prostor kontaktirati infa fests prisluhniti želja partner nastopajoč merror blagajna blagajnein upravljanje socialen omrežje idejaren voziti hladilen komor rentis ptovati najem kombi prevoz spleten gostovanje hostkositi zanesljiv gostovanje hrana laplaca gostilna ovinek produkcija apaudioliva slovenio primer slab vreme prireditev odpovedati,2019-08-02 20:00:00,3690,108248812537346
Ptujska NOČ 2019,fests predstavljati ptujski noč nastopajoč petek dejan vunjak skupina smiti dje ney nastopajoč sobota luk basa ines erbus dje ney kdaj petek sobota lokacija ptovati začetek ura konec ura pozor vstopnina skratka energija maksimalen vzdušje žurerski zato del spektakel ptujski noč party pijača hostesa red bull jägermeister oglaševanje big led screen prireditven prostor kontaktirati infa fests prisluhniti želja partner nastopajoč merror blagajna blagajnein upravljanje socialen omrežje idejaren voziti hladilen komor rentis ptovati najem kombi prevoz spleten gostovanje hostkositi zanesljiv gostovanje hrana laplaca gostilna ovinek produkcija apaudioliva slovenio primer slab vreme prireditev odpovedati,2019-08-02 20:00:00,2209,108248812537346
Osmina finala se vrača: RK Celje Pivovarna Laško-PGE Vive Kielce,prestavljen nedoločen čas,2020-06-03 20:00:00,585,8578153485
Na robu - Vizualna umetnost v Kraljevini Jugoslaviji 1929-1941,rob vizualen umetnost kraljevina jugoslavija mednaroden pregleden razstava april september odprtje april ura moderen galerija cankarjev ljubljana večer odprtje avditorij moderen galerija naprej ogled film marjati foerster odkritje spomenik kralj aleksander ljubljana september arhiv republika slovenija filmski arhiv ljubljana časten pokrovitelj razstava predsednik republika slovenija borut pahor kustos vodja projekt marka jenka izbor umetnosten razstaven gradivo prispevek katalog bogdanović marka jenka jan intiharferjati lovorek magašbilandžić lidij merenik mar nikolčić kiriti penušlisk joža pirjevec alenka pirman petar prelog daniel rafaelić boža repa bojan rogin dejan sretenović lara štrumejati ivati udovičić zdenka vrdlovec ast vrečka bet žerovca koncept postavitev razstava marka jenka poseben postavitev dejan sretenović beograjski nadrealizem alenka pirman louis adamič mednaroden filmski program avditorij moderen galerija daniel rafaelić zdenka vrdlovec poseben zahvala namenjati jugoslovanski kinoteka beograd mednaroden razstava vizualen umetnost kraljevina jugoslavija osrednji dogodek let moderen galerija problemski pregled slikarstvo kiparstvo grafik risba fotografija film kraljev uvedba diktatura januar močen vplivati imenovan spopad umetniški levica začetek svetoven vojen jugoslovanski tla april rdeč nit razstava pogled kraljevina jugoslavija tedanji umetnosten prizorišče način razkrivati potopis louis adamič vrnitev roden kraj združen država amerika izšel let tam postati večkrat ponatisnjen uspešnica kraljevina jugoslavija delo prepovedan razstava ogled ponuditi del več umetnica umetnik arhivski knjižničen gradivo več javen zaseben zbirka država nekdanji jugoslavija večina del tujina slovenija ogled prvič istočasen razstava rob moderen galerija muzej sodoben umetnost metelkov ogled razstava južen ozvezdje marec govor umetnost gibanje neuvrščen letošnji program moderen galerija zaznamovati jugoslovanski kontekst kontekst jugoslavje razstava rob spremljati mednaroden filmski program avditorij moderen galerija pedagoški program obsežen bogat ilustriran katalog končen informacija javen program tje urnik filmski pedagoški program kmalu volja spleten stran moderen galerija več informacija brinka visuati arts kingd yugoslavio internationala survey exhibition april september opening april moderen galerija museum moderna arta cankarjev ljubljana evening exhibition opening onwards marjati foerster film inauguration monument king alexandra ljubljana september archiv republica slovenio sloven film archiv ljubljana will screened moderen galerija auditorium honorary patron exhibition president republica slovenio borut pahor curator projecti manager marka jenka selection artworks anda othra materials for exhibition anda catalogu contributions bogdanović marka jenka jan intiharferjati lovorek magašbilandžić lidij merenik mar nikolčić kiriti penušlisk joža pirjevec alenka pirman petar prelog daniel rafaelić boža repa bojan rogin dejan sretenović lara štrumejati ivati udovičić zdenka vrdlovec ast vrečka bet žerovca exhibition concept anda design marka jenka special displays dejan sretenović belgrada surrealis alenka pirman louis adamič internationala film program moderen galerija auditorium daniel rafaelić zdenka vrdlovec special thankyo goes yugoslava film archiv belgrada internationala exhibition visuati arts kingd yugoslavio this year maina event moderen galerija will provid overview painting sculptura printmaking drawing photography anda film tima king dictatorship was set january beginning worlda war yugoslava soiti april this period alsa dictatorship heavily influenceda socalled conflicti artistica left thread running throug exhibition addition arta scena view yugoslavio presented louis adamič his travelogu nativa returna published united stat whera iti becama instant bestseller reprinted many times iti was forbidden kingd yugoslavio exhibition will display work thati artists archivati anda library materials thati publica anda privati collections exyugoslava countries most works abroad will shown slovenio for first tima exhibition brinka alsa juxtaposeda with arta postworldwario contexti museum contemporary arta metelkov parta moderen galerija sinec exhibition southerna constellations poetics nonaligned march presents arta anda movement nonaligned which yugoslavio was constitutiva parta moderen galerija program for thus marked contexti yugoslavio yugoslavias exhibition brinka accompanied internationala film program moderen galerija auditorium educationala program anda extensiv richly illustrated catalogu information abouti publica program film program anda englis educationala program will availabla moderen galerija websiti information ati razstava katalog podpreti ministrstvo kultura republika slovenija exhibition anda catalogu wera supported ministry cultura republica slovenio glaven pokrovitelj razstava mercator general sponsor exhibition mercator group,2019-04-25 20:00:00,1318,319298697712
"Cirkus pres. Matroda (Mad Decent, Dim Mak, Confession)",worlda producer year tracklist gigs australio asio author club bangers chronica californio with chris laka calient supported dje snak major lazero tiesto dipel martin garrix calvina harris dillon francis tong releases mada decent confession dim maka spinnina sony universati takoj zaključek severnoameriški turneja terminal undergorunda prvič desetletje klub cirkus vrač ljubljenec ljubljanski občinstvo matrod zadnji nastop oder osvojiti dipel dje snak dillon fancis tiest martin garrix sti aokij povabilo več skupen nastop preboj tujina matija dom los angelo muzika izdajati vpliven svetoven založba klubski petarda californio chris laka chronica dodati calient ricca zavihteti najbolj cenjen bass hous producent svet začeti reden nastopati evropa azija severen amerika avstralija matroda vrnitev cirkus spremljati gostitelj serija balcka moon dje lvn blacka matrod chronica matrod ricca calient snbrn feati kaleen zanders californio chris laka matrod remix matrod mada decent dim maka confession lvn blacka blacka moon resident djs fba fba klub cirkus trg mladinski deloven brigada ljubljana cena vstopnica tickets prices navaden regular eura vip eura informacija infa cirkusklubs vip rezervacija miza rezervacija cirkusklubs izgubljen predmet lost founda infa cirkusklubs,2020-03-13 23:00:00,522,237302949627686
FlatOut Days Ljubljana by WD-40 BIKE,flatouti days ljubljana bik bik park ljubljana slovenio ljubljana vrač spektakel flati outi days tokrat oblika dvodneven dogodek petkov večeren tekmovanje pumpa tracek žaromet soboten paralelen slalom tekmovanje skok big lina session koncert fajna hrana pijača glasen navijača lokacija kje drugje bik park ljubljana spectacular flati outi days ara coming backa ljubljana this tima forma twoday event with friday night pumpa tracka competition anda saturday show with duati slalo raca anda bik lina session add concert greati food cold drinks anda cours loud fans everything will cours happen bik park ljubljana big lina session big lina session tekmovanje kvalifikacija finale tekmovalec voziti poljuben dolg zastavljen čas uživati skakanje velik skok truditi leteti kolo bolj postrani whipoff ocenjevati narediti dober trik izvesti visok skok udeležba tekmovanje možen povabilo big lina session competition withouti qualifications anda finals all riders can riti all tima anda enjoy jumping over multipel big jumps maina challeng maka whip big possibla but they alsa hav besti tricka anda highesti jumpa competitions only riders with invitation can enter event paralelen slalo duati slalo paralelen slalo tekmovanje identičen proga tekmovalec štart hkrati enkrat proga hiter napredovati naslednji duati slalo competition nearly identicati tracks riders raca ati sam tima each onec different lina faster rider advancesa nexti rounda pumpa tracka tekmovalec pumpa tracek hitrost pridobivaj pumpanje grbina tekmovalec medse pomeriti ločen vožnja hiter napredovati naslednji riders pumpa tracka gaina speed with pumping tracka riders raca ati sam tima each onec different lina fastest rider advancesa nexti rounda program petek friday odprt park flow ramps open park anda flow ramps pumptracka kvalifikacija pumptracka qualifications flowramps session pumptracka finale pumptracka finals dje sobota saturday duati slalo trening duati slalo training big lina open duati slalo kvalifikacija duati slalo qualifications flow ramps session duati slalo finale duati slalo finals big lina session kreshes nepitas koncert concert lokacija location googel maps tekmovanje odvijati bik park ljubljana podutik končen postaja avtobus lpp številka competition takes placa bik park ljubljana podutika ati finati stop ljubljana bus number primer slab vreme dogodek prestaviti september cas bad weathra event will postponed september tekmovalcefor riders prijaveregistration prijava potekati spleten stran registration will open websiti startninaentry duati slalo pumpa tracka doubla comba big lina session inviti only prijava dan dogodek drag registrations day event will cost sponsors originati slovenio bik špan center mobilnost toy tires green gold brewing toyot slovenija unior bik tools radgonski gorica loos riders slovenio loos riders globala allianec zigg rolling papers red bull zavarovalnica triglav visiti ljubljana partners batti rajda mtbs flow ramps bik park ljubljana,2019-07-26 15:00:00,962,1412590798830022
Vlado Kreslin z gosti,vstopnica avgust križanka več vlada kreslina gost tradicionalen avgustovski koncert vlada kreslina naznanjati skorajšnji iztek avgust obenem napovedovati konec poleten festival kreslina čuten avtorski glasba čudovit priredba ljudski pesem desetletje poln ljubljanski križanka navduševati obiskovalec letos črn kitara posloviti poletje pridružiti običajen zanimiv glasben gostja,2019-08-30 20:30:00,710,70256676273
Gasilska veselica Črnuče 2019,črnuča letos gasilski veselica tokrat tik začetek nov šolski let sobota avgust začeti živ glasba pričeti pozen noč žura dejan vunjak brendijev baraba pester dogajanje kuhanje pravi prekmurski bograča ugoden cena hrana pijača odvijati tradicionalen srečel navada poskrbljen mlad popoldan potekati poseben gasilski igra delavnica otrok pridružiti,2019-08-31 13:00:00,1835,134967056696765
VELIKA GASILSKA VESELICA Z ANSAMBLOM SAŠA AVSENIKA,gasilka gasilec pgd kamniški bistrica letnica prevzem nov gasilski voziti vabiti velik gasilski veselica ansambel saš avsenik hrana pijača poskrbeti gasilec lep vabiti,2019-08-17 19:00:00,966,108475592510074
Klapa Šufit v Senožečah,vabiti pastirski igra senožeč pripravljati pester program več informacija organizator objaviti kmalu sedaj lahek zaupati sklop omenjen igra petek edin klap šufit informacija klap nastanek segati leto tomislava veršić zbrati skupina nadarjen srednješolec podstrešje gimnazija kjer začeti klapski petje let prvič javen nastopiti splitski cerkev gospa zdravljati let klap pričeti pripravljati nastop festival dalmatinski klap omiš sčasoma klap gimnazijski klap prerasel pravi dalmatinski klapa nastopiti številen festival obvezen sodelovati omiški festival klap let trikrat postati absoluten zmagovalec festival naslednji let slediti velik glasben nagrada vrhunec preboj let doseči uspešnica dirati moj ljubav postati velik hit klapski glasba kanal youtuba imeti več milijon ogled uspešnica jubin ričati zavezan proplakat srce siguran nisa oprostiti duša naštevanje zagotovo pesem kap kisati zmagovalka festival vdp kašteti pesem uzeti nebo sunec zmagovalka večer dalmatinski šanson pesem klap posneti zadnji videospot let lahek pohvaliti številen uspeh nastop stožica ljubljana bonifik koper itd izdati nov album naslov oprostiti duša letos osvojiti diskografski nagrada porina dober popfolkloren album več zgodba lahek prebrati povezava slovenija imeti dom navdušiti očarati vrhunski glas nastop resničen dober vstopnica cena volja koncert,2019-07-19 21:00:00,859,104938006209959
"Smokie: 45 Years, Hala Tivoli, 11. april 2020",velik koncert angleški legendaren skupina smokio obletnica poceni vstopnica early bird eura event petrola event living nexti door alica hav ever seen raina mexican gireti carola lay backa arms somoen številen uspešnica tresti hala tivoli ljubljana sobota april poceni vstopnica early bird eura event petrola event,2020-04-11 20:00:00,1486,672498956503911
Tarapana band in Grupa Vigor / KOPE,najbolj party smučišče slovenija kmalu pričenje nov smučarski žurerski sezona vikend december žurati petek tarapan banda sobota grupa vigor pozor vikend ponujati ekskluziven cena namestiitev portalo več informacija klikniti zima dobiti kopa,2019-12-20 10:00:00,546,215903830309
CAC Vrbljene 2020 & CAC Barje 2020,državen razstava pes pasma caca vrbljen državen razstava pes pasma caca bar,2020-05-23 07:00:00,506,3022382371123294
Cankarjevi torki: Katalena,katalen katalen dolg šteti ljubljanski koncert nastop cankarjev dom let nabrati konkreten spisek septembrski koncert okvir ciči cankarjev torek poseben katalen ljubljanski občinstvo prvič stopati polnoleten dekla vedno najstnica imeti volilen pravica lahek lokal naročiti pivo zgodba ljubljanski zasedba trajati let let nabrati album muzik pol let izšel plošča človek zver vrsta mesec kasneje slediti zvočen zapis katalenski muzik balet kekec oder mariborski sng postaviti edward cluga bonus dosedanji ustvarjanje koncert september klub cankarjev dom otvoritven koncert ciči dekle fant skupina katalen predstaviti presek dosedanji ustvarjanje resen polnoleten gospa spodobiti sproščen pritikati najstnica vesen zornik glaven vokati spremljevalen vokati polona janežič klavir klaviatura psalter spremljevalen vokati boštjan gombača klarinet saksofon krilovka teremina ukuleti kositrn piščal fujar pozaven spremljevalen vokati ibor mihelič syed basa kitara gimber ukuleti rolanda hpd kitara spremljevalen vokati boštjan narati kitara bendža spremljevalen vokati robert rebolj boben tolkati klub eura članski izkaznica cankarjev torek priporočati nakup leten članski izkaznica zagotoviti prihranek klubski ugodnost popust koncert cankarjev torek rezervacija vstopnica minuta koncert obisk napovedati dan prej vstopnica cdccs popust nakup vstopnica posamezen koncert abonmajati glasba svet žrebanje dobitnik brezplačen komplet vstopnica jazz festival skopje jazz cerkno jazz festival ljubljana cena članski izkaznica eura izkaznica veljati leto nakup prenosljiv,2019-09-24 20:00:00,712,265166920191742
Bovec marathon 2019,čudovit trasa bovec maraton letos pričakovati sobota september navada pot podati tekač tekačica fun runa preizkušnja polmaratonec maratonec pot čist narava podaja dan popolnoma tekaški obarvan popoldan rezerviran otroški uličen tek letos dogodek spremljati pester spremljevalen program zavleči dolg noč prijava wonderfula courses bovec marathon ara expecting september lik usuati fun runa runners will first cours ati whiti halfmarathon anda marathon runners starta ati maka iti perfecti running themed day afternoon reserved for kids runa event will accompanied rich program thati will last long inta night registations open,2019-09-14 09:00:00,695,130022834042378
26.10. Within Destruction - Support the Scene Fest - Kino Šiška,withina destruction support scena festi with eruption carnifliat skyey armaroth reach smrt dethron corruption vstopnica tickets parola orta bar mojekartes vip časovnica timing vrata blagajna doors box offica dethron corrupted smrt reach armaroth skyey carnifliat eruption withina destruction dan noč čarovnica kino šiški postati tempelj lokalen metati scena ekskluziven koncert tru sla prvakov withina destruction plošča void osvojiti srce ljubiteljev agresiven glasba svet oder katedrala rohneti eruption carnifliat skyey armaroth reach smrt dethron corrupted withina destruction slovenski bend manj let delovanje uspel obiskati večina evropski mesto nekajkrat obresti daljen vzhod japonski južen koreja trenutek nastajanje besedilo tretjič pod mesec dolg turneja bend pot začeti povprečen novodoben death metati bend čas evolvirati neustavljiv slamming deathcor death metati pošast plošča void uspel osvojiti srce ljubiteljev agresiven glasba svet takrat uspel podpisati dogovor svetoven znan založba uniqu leader records vodilen področje svetoven tehničen death metati scena turneja peljati avocada booking najbolj cenjen turnejski agencija evropa drugod odreti deliti benda suicid silenec betraying martyrs internati bleeding decrepiti birth loren shor vader ingested disentomba mnog hvaliti vrsta sobota oktober izvesti ekskluziven nastop slovenski tla napasti kino šiški igrati katedrala velik dvorana support scena festi dogodek pokazati močen odmeven slovenski metati scena podpreti lokalen metati scena del zgodovina koncert govorilo desetletje zamuditi withina destruction eruption carnifliat skyey armaroth reach smrt dethron corrupted vesel dihurček kadilnica death riffeater dirty skunks,2019-10-26 17:00:00,1142,154287574875
Silvestrovanje za otroke / Children's New Year's Eve Celebration,kongresen trg otrok starš lahek praznovati prihod nov let pravljičen junak ogledati glasben nastop otrok razveseliti prihod dedek mraz order creati magicati anda unforgettabla new year experienca for childriti celebration will featura popular festiva characters childriti performancesa anda arrivati grandp frost,2019-12-31 16:00:00,523,275124796365576
16. Bolšji SEJEM Rastlin,ljubljana ižanski letošnji bolšje sejem odvijati sobota maj ura botaničen vrt univerza ljubljana ižanski cesta okvir sejem predavanje predstavitev voden ogled tematika dogajanje delavnica otrok glaven del vedno rastlina stojnica sejemski razporejen del vrt namenjen sredozemski rastlina kontakt razstavljavec kupec bolj pristen več informacija prijavnica razstavljavec dobiti spleten stran botaničen vrt utrinek lanski sejem obiskovalec prodajati rastlina kontaktirati infa botanicnivrts,2020-05-16 09:00:00,7711,712053852258032
Poizpitni STAND UP v Rožni Dolini,prihajati poizpiten standa kdaj kje rožen kuhen menz vid valič marka žerjati andreja podbevšek dejan ikovica bush vstopnina nakup vstopnica vhod pomemben karta začeti prodajati ura dogodek nakup karta lahek oprava veljaven študentski izkaznica videti,2020-02-19 21:00:00,1407,2516770868642789
